timestap,ambient_temperature,can_msg.data,can_msg.dlc,can_msg.id,engine_box_pressure,fuel_consumed,fuel_flow,header.frame_id,header.stamp.nanosec,header.stamp.sec
1740861218591194073,16,[  0   0   0   0 184 161  16   0],7,258,945.2999877929688,0,0,Fuel/Ambient,590822028,1740861218
1740861218797430028,16,[  0   0   0   0 184 161  16   0],7,258,945.2999877929688,0,0,Fuel/Ambient,795748496,1740861218
1740861219001190951,16,[  0   0   0   0 184 161  16   0],7,258,945.2999877929688,0,0,Fuel/Ambient,421868,1740861219
1740861219197213993,16,[  0   0   0   0 184 161  16   0],7,258,945.2999877929688,0,0,Fuel/Ambient,196792634,1740861219
1740861219401620535,16,[  0   0   0   0 184 161  16   0],7,258,945.2999877929688,0,0,Fuel/Ambient,401317900,1740861219
1740861219596405868,16,[  0   0   0   0 184 161  16   0],7,258,945.2999877929688,0,0,Fuel/Ambient,596090433,1740861219
1740861219801079364,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,800622579,1740861219
1740861219995584879,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,995157216,1740861219
1740861220202367214,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,202039106,1740861220
1740861220398306504,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,397984253,1740861220
1740861220603038237,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,602651727,1740861220
1740861220797351326,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,797084948,1740861220
1740861221001662052,16,[  0   0   0   0 184 159  16   0],7,258,945.260009765625,0,0,Fuel/Ambient,1290166,1740861221
1740861221198570909,16,[  0   0   0   0 184 159  16   0],7,258,945.260009765625,0,0,Fuel/Ambient,198254130,1740861221
1740861221402825565,16,[  0   0   0   0 184 159  16   0],7,258,945.260009765625,0,0,Fuel/Ambient,402550323,1740861221
1740861221606851412,16,[  0   0   0   0 184 159  16   0],7,258,945.260009765625,0,0,Fuel/Ambient,606518856,1740861221
1740861221801168113,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,800873958,1740861221
1740861222005853407,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,5559829,1740861222
1740861222201929367,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,201572618,1740861222
1740861222406483837,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,406247508,1740861222
1740861222612291951,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,610853564,1740861222
1740861222806357599,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,806034355,1740861222
1740861223011013832,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,10371313,1740861223
1740861223209543123,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,209216071,1740861223
1740861223413910766,16,[  0   0   0   0 184 160  16   0],7,258,945.280029296875,0,0,Fuel/Ambient,413650181,1740861223
1740861223608200033,16,[  0   0   0   0 184 161  16   0],7,258,945.2999877929688,0,0,Fuel/Ambient,607979322,1740861223
1740861223812473945,16,[  0   0   0   0 184 161  16   0],7,258,945.2999877929688,0,0,Fuel/Ambient,812233968,1740861223
1740861224016755985,16,[  0   0   0   0 184 161  16   0],7,258,945.2999877929688,0,0,Fuel/Ambient,16448710,1740861224
