timestap,can_msg.data,can_msg.dlc,can_msg.id,glow_plug_i,glow_plug_v,header.frame_id,header.stamp.nanosec,header.stamp.sec,sekevence
1740861218508810357,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,508421223,1740861218,0
1740861218611932063,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,611554161,1740861218,0
1740861218704245574,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,703727892,1740861218,0
1740861218816815426,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,816467798,1740861218,0
1740861218909139818,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,908607574,1740861218,0
1740861219063206865,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,62864933,1740861219,0
1740861219135572877,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,135251841,1740861219,0
1740861219217912749,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,217605250,1740861219,0
1740861219309922856,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,309574299,1740861219,0
1740861219425744182,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,422023024,1740861219,0
1740861219504444404,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,504046566,1740861219,0
1740861219617134066,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,616795014,1740861219,0
1740861219709088906,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,708749918,1740861219,0
1740861219821776840,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,821420059,1740861219,0
1740861219913789474,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,913417045,1740861219,0
1740861220058171660,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,57719100,1740861220,0
1740861220131817716,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,130480996,1740861220,0
1740861220223077330,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,222690244,1740861220,0
1740861220306609915,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,306192332,1740861220,0
1740861220419046670,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,418735490,1740861220,0
1740861220511096199,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,510646743,1740861220,0
1740861220625907951,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,623531642,1740861220,0
1740861220715851165,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,715524049,1740861220,0
1740861220818078915,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,817634259,1740861220,0
1740861220909910389,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,909473605,1740861220,0
1740861221064336034,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,63961141,1740861221,0
1740861221136627449,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,136235178,1740861221,0
1740861221219234079,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,218886899,1740861221,0
1740861221311260374,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,310907273,1740861221,0
1740861221423359226,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,423097265,1740861221,0
1740861221514964802,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,514708345,1740861221,0
1740861221627634554,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,627249581,1740861221,0
1740861221719633424,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,719289508,1740861221,0
1740861221821703470,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,821435140,1740861221,0
1740861221913913228,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,913615393,1740861221,0
1740861222068061196,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,67679198,1740861222,0
1740861222140530055,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,140133241,1740861222,0
1740861222222538390,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,222143848,1740861222,0
1740861222314749522,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,314439239,1740861222,0
1740861222427100957,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,426854132,1740861222,0
1740861222519447741,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,519118481,1740861222,0
1740861222631853706,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,631537150,1740861222,0
1740861222713812151,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,713549454,1740861222,0
1740861222826924349,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,826674196,1740861222,0
1740861222918863951,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,918631175,1740861222,0
1740861223075350400,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,75071062,1740861223,0
1740861223147762743,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,147406154,1740861223,0
1740861223230183059,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,229916938,1740861223,0
1740861223322346827,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,321959550,1740861223,0
1740861223434716276,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,434504749,1740861223,0
1740861223516544220,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,516299667,1740861223,0
1740861223628912292,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,628542615,1740861223,0
1740861223720793618,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,720508872,1740861223,0
1740861223833073880,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,832824143,1740861223,0
