timestap,can_msg.data,can_msg.dlc,can_msg.id,header.frame_id,header.stamp.nanosec,header.stamp.sec,last_off_egt,last_off_pump_power,last_off_rpm,last_off_state,last_off_state_str,last_runtime
1740861219021579328,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,21133808,1740861219,20,14.0,599,3,FUEL RAMP,246
1740861220016130958,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,15792162,1740861220,20,14.0,599,3,FUEL RAMP,246
1740861221022344615,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,21928088,1740861221,20,14.0,599,3,FUEL RAMP,246
1740861222026437310,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,26179925,1740861222,20,14.0,599,3,FUEL RAMP,246
1740861223031419840,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,31052467,1740861223,20,14.0,599,3,FUEL RAMP,246
1740861224037257708,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,37052164,1740861224,20,14.0,599,3,FUEL RAMP,246
1740861225041041593,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,40751502,1740861225,20,14.0,599,3,FUEL RAMP,246
1740861226035699147,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,35484740,1740861226,20,14.0,599,3,FUEL RAMP,246
1740861227042669535,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,42490105,1740861227,20,14.0,599,3,FUEL RAMP,246
1740861228046630867,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,46344713,1740861228,20,14.0,599,3,FUEL RAMP,246
1740861229052118728,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,51564597,1740861229,20,14.0,599,3,FUEL RAMP,246
1740861230054481625,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,54001704,1740861230,20,14.0,599,3,FUEL RAMP,246
1740861231054011921,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,53638372,1740861231,20,14.0,599,3,FUEL RAMP,246
1740861232056266996,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,55544763,1740861232,20,14.0,599,3,FUEL RAMP,246
1740861233066539615,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,65949898,1740861233,20,14.0,599,3,FUEL RAMP,246
1740861234066520904,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,66140187,1740861234,20,14.0,599,3,FUEL RAMP,246
1740861235066136304,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,65124108,1740861235,20,14.0,599,3,FUEL RAMP,246
1740861236076402780,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,75646049,1740861236,20,14.0,599,3,FUEL RAMP,246
1740861237079493525,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,78890624,1740861237,20,14.0,599,3,FUEL RAMP,246
1740861238080383788,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,79794935,1740861238,20,14.0,599,3,FUEL RAMP,246
1740861239082764387,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,82285906,1740861239,20,14.0,599,3,FUEL RAMP,246
1740861240082104666,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,81679115,1740861240,20,14.0,599,3,FUEL RAMP,246
1740861241092947794,[  0 246   2  87   0  20  28   3],8,260,Last Run Info,92415455,1740861241,20,14.0,599,3,FUEL RAMP,246
