timestap,can_msg.data,can_msg.dlc,can_msg.id,error,header.frame_id,header.stamp.nanosec,header.stamp.sec,integrator,pump_power,windup
1740861218519459442,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,519143943,1740861218,64191.0,0.0,517
1740861218622250992,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,621930501,1740861218,64191.0,0.0,517
1740861218714481140,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,714077606,1740861218,64191.0,0.0,517
1740861218828010227,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,826824584,1740861218,64191.0,0.0,517
1740861218919340503,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,918945096,1740861218,64191.0,0.0,517
1740861219073576292,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,73200214,1740861219,64191.0,0.0,517
1740861219145974785,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,145580883,1740861219,64191.0,0.0,517
1740861219228251935,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,227892210,1740861219,64191.0,0.0,517
1740861219320243769,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,319905645,1740861219,64191.0,0.0,517
1740861219432963992,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,432363874,1740861219,64191.0,0.0,517
1740861219514673058,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,514367319,1740861219,64191.0,0.0,517
1740861219627849393,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,627109430,1740861219,64191.0,0.0,517
1740861219719406011,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,719085391,1740861219,64191.0,0.0,517
1740861219832077368,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,831751020,1740861219,64191.0,0.0,517
1740861219924101459,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,923744678,1740861219,64191.0,0.0,517
1740861220068408890,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,68043949,1740861220,64191.0,0.0,517
1740861220141286311,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,140809558,1740861220,64191.0,0.0,517
1740861220233284831,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,232984148,1740861220,64191.0,0.0,517
1740861220316934860,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,316560031,1740861220,64191.0,0.0,517
1740861220429399200,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,429073332,1740861220,64191.0,0.0,517
1740861220521385303,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,520998537,1740861220,64191.0,0.0,517
1740861220634186006,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,633881356,1740861220,64191.0,0.0,517
1740861220726117612,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,725833826,1740861220,64191.0,0.0,517
1740861220828309776,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,827951011,1740861220,64191.0,0.0,517
1740861220920202468,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,919797462,1740861220,64191.0,0.0,517
1740861221074639858,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,74286022,1740861221,64191.0,0.0,517
1740861221146923688,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,146575580,1740861221,64191.0,0.0,517
1740861221229455852,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,229186531,1740861221,64191.0,0.0,517
1740861221321555654,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,321226554,1740861221,64191.0,0.0,517
1740861221433623497,[250 191   2   5   4  96   0   0],8,265,1120.0,NgReg,433357247,1740861221,64191.0,0.0,517
