timestap,can_msg.data,can_msg.dlc,can_msg.id,header.frame_id,header.stamp.nanosec,header.stamp.sec,runs_aborted,runs_ok,total_runtime
1740861219011219598,[ 0 35  0 16  0  0 49 56],8,259,Statistics,10775934,1740861219,16,35,12600
1740861220005842974,[ 0 35  0 16  0  0 49 56],8,259,Statistics,5482097,1740861220,16,35,12600
1740861221011979252,[ 0 35  0 16  0  0 49 56],8,259,Statistics,11615495,1740861221,16,35,12600
1740861222016112142,[ 0 35  0 16  0  0 49 56],8,259,Statistics,15867333,1740861222,16,35,12600
1740861223021084784,[ 0 35  0 16  0  0 49 56],8,259,Statistics,20747204,1740861223,16,35,12600
1740861224027030015,[ 0 35  0 16  0  0 49 56],8,259,Statistics,26796599,1740861224,16,35,12600
1740861225030780587,[ 0 35  0 16  0  0 49 56],8,259,Statistics,30394973,1740861225,16,35,12600
1740861226025496192,[ 0 35  0 16  0  0 49 56],8,259,Statistics,25230870,1740861226,16,35,12600
1740861227032511862,[ 0 35  0 16  0  0 49 56],8,259,Statistics,32267597,1740861227,16,35,12600
1740861228036321956,[ 0 35  0 16  0  0 49 56],8,259,Statistics,36073788,1740861228,16,35,12600
1740861229041790265,[ 0 35  0 16  0  0 49 56],8,259,Statistics,41103137,1740861229,16,35,12600
1740861230044197452,[ 0 35  0 16  0  0 49 56],8,259,Statistics,43562165,1740861230,16,35,12600
1740861231043865033,[ 0 35  0 16  0  0 49 56],8,259,Statistics,43178608,1740861231,16,35,12600
1740861232045657372,[ 0 35  0 16  0  0 49 56],8,259,Statistics,45149322,1740861232,16,35,12600
1740861233056173968,[ 0 35  0 16  0  0 49 56],8,259,Statistics,55562490,1740861233,16,35,12600
1740861234056457188,[ 0 35  0 16  0  0 49 56],8,259,Statistics,55873679,1740861234,16,35,12600
1740861235055146827,[ 0 35  0 16  0  0 49 56],8,259,Statistics,54723132,1740861235,16,35,12600
1740861236065667616,[ 0 35  0 16  0  0 49 56],8,259,Statistics,65281458,1740861236,16,35,12600
1740861237069821951,[ 0 35  0 16  0  0 49 56],8,259,Statistics,68352747,1740861237,16,35,12600
1740861238069926202,[ 0 35  0 16  0  0 49 56],8,259,Statistics,69369094,1740861238,16,35,12600
1740861239072424021,[ 0 35  0 16  0  0 49 56],8,259,Statistics,71948228,1740861239,16,35,12600
1740861240071798893,[ 0 35  0 16  0  0 49 56],8,259,Statistics,71316252,1740861240,16,35,12600
1740861241082731529,[ 0 35  0 16  0  0 49 56],8,259,Statistics,81787112,1740861241,16,35,12600
1740861242086586615,[ 0 35  0 16  0  0 49 56],8,259,Statistics,86229066,1740861242,16,35,12600
1740861243088021563,[ 0 35  0 16  0  0 49 56],8,259,Statistics,87533129,1740861243,16,35,12600
1740861244088370180,[ 0 35  0 16  0  0 49 56],8,259,Statistics,87745678,1740861244,16,35,12600
1740861245089034755,[ 0 35  0 16  0  0 49 56],8,259,Statistics,88489104,1740861245,16,35,12600
1740861246099708047,[ 0 35  0 16  0  0 49 56],8,259,Statistics,99277472,1740861246,16,35,12600
