timestap,can_msg.data,can_msg.dlc,can_msg.id,engine_subtype,engine_type,fw_version,header.frame_id,header.stamp.nanosec,header.stamp.sec,serial_number
1740861219031912914,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,31495075,1740861219,585
1740861220026423550,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,26100946,1740861220,585
1740861221032506930,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,32221767,1740861221,585
1740861222037196318,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,36478981,1740861222,585
1740861223041648141,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,41356035,1740861223,585
1740861224047529178,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,47328275,1740861224,585
1740861225051301350,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,51051325,1740861225,585
1740861226045881014,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,45703279,1740861226,585
1740861227052834377,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,52695396,1740861227,585
1740861228056961315,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,56680217,1740861228,585
1740861229062376917,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,61969542,1740861229,585
1740861230065500577,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,64383769,1740861230,585
1740861231064378817,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,63950994,1740861231,585
1740861232066458750,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,66014830,1740861232,585
1740861233076755082,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,76289241,1740861233,585
1740861234076679120,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,76345061,1740861234,585
1740861235076199604,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,75724548,1740861235,585
1740861236087418434,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,86227000,1740861236,585
1740861237089768225,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,89341810,1740861237,585
1740861238090617590,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,90212263,1740861238,585
1740861239093083887,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,92623455,1740861239,585
1740861240093341702,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,92009527,1740861240,585
1740861241104033337,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,102839407,1740861241,585
1740861242107300850,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,106984935,1740861242,585
1740861243108745141,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,108252420,1740861243,585
1740861244109054717,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,108583532,1740861244,585
1740861245109666138,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,109250315,1740861245,585
1740861246120931642,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,120147775,1740861246,585
