timestap,can_msg.data,can_msg.dlc,can_msg.id,ecu_hw_serial_number,eiu_sw_version,header.frame_id,header.stamp.nanosec,header.stamp.sec
1740861219083946263,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,83519335,1740861219
1740861220078950387,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,78373406,1740861220
1740861221084937602,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,84576757,1740861221
1740861222088668012,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,88349344,1740861222
1740861223095951391,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,95697814,1740861223
1740861224099274863,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,99039686,1740861224
1740861225103411111,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,103129053,1740861225
1740861226097454402,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,97225082,1740861226
1740861227105346134,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,104882150,1740861227
1740861228108595855,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,108332134,1740861228
1740861229115691420,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,115019428,1740861229
1740861230117393845,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,116980934,1740861230
1740861231116695779,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,116207505,1740861231
1740861232119665406,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,118658394,1740861232
1740861233129491480,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,128897891,1740861233
1740861234129034512,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,128533439,1740861234
1740861235128830717,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,128426671,1740861235
1740861236140909064,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,140379797,1740861236
1740861237142171103,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,141678926,1740861237
1740861238143007154,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,142570339,1740861238
1740861239145039132,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,144578955,1740861239
1740861240144767999,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,144216300,1740861240
1740861241156855170,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,156070567,1740861241
1740861242159963572,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,159462690,1740861242
1740861243160843170,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,160323504,1740861243
1740861244161647162,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,161190346,1740861244
1740861245162202997,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,161743268,1740861245
1740861246173637050,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,173134088,1740861246
1740861247175058186,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,174510839,1740861247
1740861248175070005,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,174481632,1740861248
1740861249176129904,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,175508698,1740861249
1740861250187118644,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,186503390,1740861250
1740861251189510454,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,188782044,1740861251
1740861252190986979,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,190660408,1740861252
1740861253189447283,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,189028421,1740861253
1740861254200341027,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,199680268,1740861254
1740861255201473513,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,200966807,1740861255
1740861256202918949,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,202445109,1740861256
1740861257204044419,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,203257223,1740861257
1740861258214418544,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,213974049,1740861258
1740861259215966773,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,215569991,1740861259
1740861260215617060,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,215002798,1740861260
1740861261216005145,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,215569034,1740861261
1740861262218113878,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,217480064,1740861262
1740861263229829231,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,229391680,1740861263
1740861264232684191,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,231701309,1740861264
1740861265231532176,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,231090561,1740861265
1740861266243081512,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,242635192,1740861266
1740861267244109021,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,243684175,1740861267
1740861268244996667,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,244462856,1740861268
1740861269245924166,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,245457942,1740861269
1740861270246291147,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,245783546,1740861270
1740861271249558018,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,248022572,1740861271
1740861272259683154,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,259192513,1740861272
1740861273263446227,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,262994979,1740861273
1740861274264246490,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,263931727,1740861274
1740861275266004591,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,265598209,1740861275
1740861276267852468,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,267501927,1740861276
1740861277277193065,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,276733337,1740861277
1740861278276612915,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,276211941,1740861278
1740861279274726782,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,274233069,1740861279
1740861280285793781,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,284553322,1740861280
1740861281285474832,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,284807513,1740861281
1740861282287557771,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,287097819,1740861282
1740861283297319643,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,296619171,1740861283
1740861284298878238,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,298097251,1740861284
1740861285298374215,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,297645454,1740861285
1740861286299855554,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,299133738,1740861286
1740861287302635671,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,302230249,1740861287
1740861288311845462,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,311171167,1740861288
1740861289312379385,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,311779588,1740861289
1740861290316897105,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,315873550,1740861290
1740861291318740859,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,318295596,1740861291
1740861292318922970,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,318352838,1740861292
1740861293329250081,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,328754768,1740861293
1740861294330797226,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,330209462,1740861294
1740861295331683497,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,331047187,1740861295
1740861296332455026,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,331977954,1740861296
1740861297334741628,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,333987490,1740861297
1740861298345067207,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,344587127,1740861298
1740861299345858554,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,345367337,1740861299
1740861300348169998,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,347603675,1740861300
1740861301351485971,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,350913471,1740861301
1740861302352828546,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,352165515,1740861302
1740861303363356344,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,362866471,1740861303
1740861304370200542,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,369742158,1740861304
1740861305360699013,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,360238037,1740861305
1740861306364217781,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,363744165,1740861306
1740861307375977100,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,375448026,1740861307
1740861308377516950,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,377046182,1740861308
1740861309376014181,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,375548277,1740861309
1740861310378177952,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,377740945,1740861310
1740861311389135603,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,388739462,1740861311
1740861312390852251,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,390121666,1740861312
1740861313393706839,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,393229895,1740861313
1740861314395744678,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,395091760,1740861314
1740861315397331700,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,396455479,1740861315
1740861316401492520,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,400798512,1740861316
1740861317402830090,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,401968205,1740861317
1740861318413262991,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,412594328,1740861318
1740861319414532267,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,413891317,1740861319
1740861320416541423,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,416107201,1740861320
1740861321419377118,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,418623780,1740861321
1740861322421648968,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,421131926,1740861322
1740861323422329963,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,421754583,1740861323
1740861324433116145,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,432392313,1740861324
1740861325434721328,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,434221247,1740861325
1740861326435753579,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,435265018,1740861326
1740861327436738194,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,436112925,1740861327
1740861328446982912,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,446476271,1740861328
1740861329447780223,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,447164778,1740861329
1740861330449062301,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,448533227,1740861330
1740861331450385803,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,449861274,1740861331
1740861332453379648,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,452702858,1740861332
1740861333458294085,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,456983705,1740861333
1740861334458980842,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,458252306,1740861334
1740861335469987257,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,469280513,1740861335
1740861336471928678,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,471439990,1740861336
1740861337472877858,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,472403026,1740861337
1740861338473891406,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,473456864,1740861338
1740861339476993072,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,476314233,1740861339
1740861340477326596,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,476906422,1740861340
1740861341489110278,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,488605429,1740861341
1740861342491280405,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,490787109,1740861342
1740861343491833246,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,491388335,1740861343
1740861344494335896,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,493656513,1740861344
1740861345495660825,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,495158760,1740861345
1740861346500395963,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,499681379,1740861346
1740861347502556663,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,502056358,1740861347
1740861348503575292,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,503133645,1740861348
1740861349513879814,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,513185807,1740861349
1740861350515534047,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,515039503,1740861350
1740861351518671513,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,517981186,1740861351
1740861352520101354,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,519689020,1740861352
1740861353522265763,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,521796563,1740861353
1740861354532160492,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,531508566,1740861354
1740861355535937977,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,535233378,1740861355
1740861356545768991,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,545323568,1740861356
1740861357536584861,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,536136782,1740861357
1740861358538341527,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,537423800,1740861358
1740861359549078953,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,548607770,1740861359
1740861360550518744,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,549906531,1740861360
1740861361552698734,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,552168861,1740861361
1740861362555500137,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,555129469,1740861362
1740861363557181583,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,556573947,1740861363
1740861364557615739,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,556521463,1740861364
1740861365569311468,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,568874973,1740861365
1740861366572749083,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,572255243,1740861366
1740861367569965549,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,569147058,1740861367
1740861368575266778,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,574771722,1740861368
1740861369582044744,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,581607033,1740861369
1740861370585383380,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,584737247,1740861370
1740861371592720340,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,591409129,1740861371
1740861372588396388,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,587598410,1740861372
1740861373592470777,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,591575324,1740861373
1740861374594770308,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,594093549,1740861374
1740861375598421483,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,597532238,1740861375
1740861376603831868,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,603318187,1740861376
1740861377607712236,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,606898289,1740861377
1740861378603417279,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,602681895,1740861378
1740861379608582457,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,608065736,1740861379
1740861380611597469,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,611021770,1740861380
1740861381612065598,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,611535756,1740861381
1740861382626954344,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,626353940,1740861382
1740861383628080159,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,627537294,1740861383
1740861384630921984,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,630090212,1740861384
1740861385631523719,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,631084632,1740861385
1740861386631151135,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,630643534,1740861386
1740861387635568004,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,635167639,1740861387
1740861388641208578,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,640755539,1740861388
1740861389648671436,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,648072057,1740861389
1740861390650489678,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,650049888,1740861390
1740861391649388098,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,648943220,1740861391
1740861392656772860,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,656230250,1740861392
1740861393653159039,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,652734833,1740861393
1740861394662663103,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,662219249,1740861394
1740861395663507829,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,663038758,1740861395
