timestap,battery_current,battery_voltage,can_msg.data,can_msg.dlc,can_msg.id,flags,header.frame_id,header.stamp.nanosec,header.stamp.sec
1740861218488079407,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,487666849,1740861218
1740861218580753827,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,580466329,1740861218
1740861218683553314,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,683064976,1740861218
1740861218786109303,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,785371741,1740861218
1740861218888304576,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,887960660,1740861218
1740861218990558955,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,990082010,1740861218
1740861219115010542,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,114584958,1740861219
1740861219187133889,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,186458697,1740861219
1740861219292419350,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,288912344,1740861219
1740861219391408106,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,391004059,1740861219
1740861219483726703,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,483404003,1740861219
1740861219586094268,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,585769840,1740861219
1740861219688528363,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,688108956,1740861219
1740861219790595149,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,790265345,1740861219
1740861219895790239,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,892763186,1740861219
1740861219985316672,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,984856944,1740861219
1740861220113439395,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,109564633,1740861220
1740861220192219075,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,191715761,1740861220
1740861220285723345,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,285364804,1740861220
1740861220388330596,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,387672236,1740861220
1740861220490363490,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,490039511,1740861220
1740861220592633705,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,592318014,1740861220
1740861220695193467,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,694885872,1740861220
1740861220787202483,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,786797605,1740861220
1740861220889283347,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,888880261,1740861220
1740861220991478936,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,990954373,1740861220
1740861221115949142,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,115588297,1740861221
1740861221188246764,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,187930049,1740861221
1740861221290577811,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,290272200,1740861221
1740861221392558318,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,392264131,1740861221
1740861221494457701,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,494180892,1740861221
1740861221596439392,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,596162230,1740861221
1740861221698987535,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,698670692,1740861221
1740861221790847744,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,790538101,1740861221
1740861221893705274,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,892949087,1740861221
1740861221995518190,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,995269797,1740861221
1740861222119685695,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,119352179,1740861222
1740861222191557188,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,191262778,1740861222
1740861222294020654,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,293797414,1740861222
1740861222396135915,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,395914371,1740861222
1740861222498513938,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,498214119,1740861222
1740861222600868088,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,600522219,1740861222
1740861222693130997,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,692838795,1740861222
1740861222795553661,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,795292116,1740861222
1740861222898139819,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,897883554,1740861222
1740861223000311050,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,21824,1740861223
1740861223127040468,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,126680007,1740861223
1740861223199200290,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,198900695,1740861223
1740861223301478979,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,301257627,1740861223
1740861223403658752,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,403366230,1740861223
1740861223495898395,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,495661202,1740861223
1740861223597891474,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,597690410,1740861223
1740861223700151026,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,699908585,1740861223
1740861223802246380,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,801937281,1740861223
1740861223904377224,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,904102558,1740861223
1740861224006505571,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,6163479,1740861224
1740861224130281664,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,129998454,1740861224
1740861224201973757,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,201663890,1740861224
1740861224304103158,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,303849645,1740861224
1740861224406039912,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,405766847,1740861224
1740861224508527535,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,508224132,1740861224
1740861224600359993,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,600141425,1740861224
1740861224703403795,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,703004549,1740861224
1740861224805451401,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,805174335,1740861224
1740861224907744265,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,907459902,1740861224
1740861225009954341,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,9712380,1740861225
1740861225134550525,0.0,14.899999618530273,[149   0   0   0   0   0   0   0],5,257,0,Voltage/Current,134252466,1740861225
