timestamp,can_msg.data,can_msg.dlc,can_msg.id,glow_plug_i,glow_plug_v,header.frame_id,header.stamp.nanosec,header.stamp.sec,sekevence
1761498519553501317,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,552149169,1761498519,0
1761498519664561934,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,664373543,1761498519,0
1761498519748187242,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,747813532,1761498519,0
1761498519860352190,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,860135574,1761498519,0
1761498519952511613,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,952287285,1761498519,0
1761498520064887653,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,64638940,1761498520,0
1761498520157157578,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,156906401,1761498520,0
1761498520303200785,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,302891909,1761498520,0
1761498520375070329,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,374864209,1761498520,0
1761498520467153335,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,466866508,1761498520,0
1761498520559311480,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,558837926,1761498520,0
1761498520661640055,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,661082274,1761498520,0
1761498520755326161,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,754499666,1761498520,0
1761498520867867951,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,867639430,1761498520,0
1761498520961108120,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,960494689,1761498520,0
1761498521063735951,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,63227932,1761498521,0
1761498521156338659,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,156004854,1761498521,0
1761498521311274693,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,310802324,1761498521,0
1761498521384491816,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,384186589,1761498521,0
1761498521467018117,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,466653560,1761498521,0
1761498521558970241,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,558678390,1761498521,0
1761498521671054218,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,670812769,1761498521,0
1761498521763147531,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,762787902,1761498521,0
1761498521865755123,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,865229984,1761498521,0
