timestamp,battery_current,battery_voltage,can_msg.data,can_msg.dlc,can_msg.id,flags,header.frame_id,header.stamp.nanosec,header.stamp.sec
1763324729740376994,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,739499035,1763324729
1763324729833188597,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,832944372,1763324729
1763324729941523996,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,940772631,1763324729
1763324730034357488,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,33747180,1763324730
1763324730136085159,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,135556867,1763324730
1763324730238753093,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,237966207,1763324730
1763324730341187777,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,340345403,1763324730
1763324730445430667,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,443911359,1763324730
1763324730536794612,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,536231216,1763324730
1763324730660877618,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,659962347,1763324730
1763324730742751637,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,741917903,1763324730
1763324730836492976,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,835625162,1763324730
1763324730938580394,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,937908709,1763324730
1763324731041201736,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,40550659,1763324731
1763324731144059944,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,142240795,1763324731
1763324731245968962,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,245026715,1763324731
1763324731347873915,0.0,13.399999618530273,[134   0   0   0   0   0   0   0],5,257,0,Voltage/Current,346852563,1763324731
1763324731442905473,0.0,13.399999618530273,[134   0   0   0   0   0   0   0],5,257,0,Voltage/Current,440801265,1763324731
1763324731543685394,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,543465008,1763324731
1763324731668971418,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,668692824,1763324731
1763324731744131468,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,741948923,1763324731
1763324731845814564,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,845120414,1763324731
1763324731940162148,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,939516096,1763324731
1763324732045603161,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,44967476,1763324732
1763324732147993591,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,147677653,1763324732
1763324732242098487,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,241370226,1763324732
1763324732346440388,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,346041889,1763324732
1763324732448386271,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,447639097,1763324732
1763324732551119616,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,550192505,1763324732
